Date,Temperature_C,Rainfall_mm,Humidity_%,Flood_Risk
20200101,20.15,0.0,76.09,0
20200102,20.13,0.01,79.37,0
20200103,17.56,36.36,92.62,1
20200104,18.43,2.04,83.94,0
20200105,16.85,6.46,87.04,0
20200106,14.53,0.07,82.37,0
20200107,14.4,0.14,80.92,0
20200108,15.54,0.0,79.3,0
20200109,15.94,0.86,83.58,0
20200110,16.57,0.36,84.86,0
20200111,14.95,0.51,87.0,0
20200112,15.24,0.0,85.49,0
20200113,15.22,0.0,82.49,0
20200114,16.23,0.0,80.69,0
20200115,17.25,0.0,82.49,0
20200116,18.73,0.0,76.55,0
20200117,19.84,0.0,76.71,0
20200118,20.28,0.0,74.29,0
20200119,19.81,0.0,79.35,0
20200120,16.42,0.0,82.38,0
20200121,14.93,0.0,74.12,0
20200122,14.97,0.0,72.5,0
20200123,16.06,0.0,74.24,0
20200124,15.21,0.0,72.46,0
20200125,15.36,0.0,67.91,0
20200126,14.96,0.0,72.4,0
20200127,15.57,0.0,71.99,0
20200128,17.11,0.0,69.81,0
20200129,17.03,0.28,74.14,0
20200130,18.01,0.27,78.08,0
20200131,18.08,1.45,79.75,0
20200201,16.75,0.0,70.52,0
20200202,16.51,0.0,66.06,0
20200203,15.01,0.0,65.35,0
20200204,15.37,0.0,66.55,0
20200205,16.48,0.0,67.04,0
20200206,17.3,0.0,65.11,0
20200207,17.29,0.0,62.57,0
20200208,17.72,0.01,65.42,0
20200209,18.11,0.03,68.29,0
20200210,16.27,0.09,63.85,0
20200211,16.79,0.0,63.87,0
20200212,16.8,0.0,61.96,0
20200213,17.63,0.0,56.96,0
20200214,18.8,0.0,63.42,0
20200215,19.96,0.0,75.77,0
20200216,20.85,0.0,68.06,0
20200217,20.72,0.0,62.85,0
20200218,21.02,0.0,60.59,0
20200219,21.54,0.0,59.81,0
20200220,21.64,0.0,56.35,0
20200221,21.77,0.0,61.72,0
20200222,22.81,0.0,57.27,0
20200223,24.07,0.0,55.99,0
20200224,23.64,0.02,60.71,0
20200225,21.43,0.98,69.16,0
20200226,21.28,1.21,71.02,0
20200227,21.13,0.38,70.81,0
20200228,21.65,0.0,59.1,0
20200229,22.65,0.0,56.74,0
20200301,23.36,0.0,57.85,0
20200302,23.74,0.26,55.92,0
20200303,23.99,12.12,60.09,0
20200304,23.59,16.52,68.86,0
20200305,24.08,2.51,67.54,0
20200306,23.83,11.52,70.49,0
20200307,23.26,3.36,74.84,0
20200308,23.95,1.66,73.43,0
20200309,23.52,0.0,58.21,0
20200310,23.15,0.09,50.58,0
20200311,23.65,0.0,54.43,0
20200312,25.65,0.0,58.8,0
20200313,26.28,0.0,58.36,0
20200314,25.77,0.0,59.31,0
20200315,24.53,0.01,60.69,0
20200316,25.14,0.0,58.35,0
20200317,24.79,0.0,54.58,0
20200318,25.04,0.0,51.59,0
20200319,25.68,0.0,45.7,0
20200320,25.55,0.54,48.23,0
20200321,26.07,0.02,46.67,0
20200322,25.49,7.08,57.13,0
20200323,24.76,0.24,57.01,0
20200324,26.31,0.14,50.3,0
20200325,26.96,0.22,51.43,0
20200326,28.22,0.0,47.07,0
20200327,28.88,0.0,47.82,0
20200328,29.67,0.0,48.85,0
20200329,29.6,0.0,47.39,0
20200330,29.02,0.0,36.18,0
20200331,28.34,0.0,35.76,0
20200401,29.25,0.0,36.1,0
20200402,29.66,0.19,60.56,0
20200403,29.45,6.03,64.12,0
20200404,28.77,5.54,63.52,0
20200405,28.61,3.57,64.11,0
20200406,28.25,2.8,59.39,0
20200407,28.98,3.03,59.63,0
20200408,30.04,0.04,61.86,0
20200409,29.1,0.05,63.09,0
20200410,29.79,0.0,56.57,0
20200411,29.67,4.83,58.99,0
